Sucursal,EtapaCredito,TotalClientesUnicos,MontoTotal,MontoPromedio,PromedioDiasAtraso,PorcentajeMontoSucursal
101,0SANA,485,5223696,10770.51,47.24,49.04
101,1_30D,216,2233342,10339.55,51.16,20.97
101,31_60D,206,2149768,10435.77,49.2,20.18
101,61_90D,105,1044134,9944.13,47.51,9.8
102,0SANA,449,4471473,9958.74,45.85,44.86
102,1_30D,194,2222707,11457.25,46.18,22.3
102,31_60D,205,2161758,10545.16,47.74,21.69
102,61_90D,103,1111449,10790.77,40.54,11.15
103,0SANA,496,4857969,9794.29,47.26,50.21
103,1_30D,200,2026486,10132.43,46.66,20.94
103,31_60D,191,1772614,9280.7,46.94,18.32
103,61_90D,96,1018512,10609.5,46.46,10.53
104,0SANA,499,5168145,10357.0,47.19,47.97
104,1_30D,220,2292413,10420.06,45.15,21.28
104,31_60D,210,2317970,11037.95,47.33,21.51
104,61_90D,100,996222,9962.22,52.0,9.25
105,0SANA,513,5536327,10792.06,45.57,51.93
105,1_30D,205,2126255,10371.98,46.49,19.94
105,31_60D,189,1914915,10131.83,47.9,17.96
105,61_90D,118,1084330,9189.24,49.41,10.17
