Sucursal,SegmentoEdad,Sexo,TotalClientes,MontoPromedio,PorcentajeClientesSucursal
101,18-25,F,88,11744.9,8.7
101,18-25,M,104,9761.82,10.28
101,26-35,F,108,9551.2,10.67
101,26-35,M,97,10205.8,9.58
101,36-45,F,119,9935.69,11.76
101,36-45,M,96,10605.1,9.49
101,46-55,F,113,10884.18,11.17
101,46-55,M,90,11280.93,8.89
101,56+,F,90,11652.37,8.89
101,56+,M,107,10152.53,10.57
102,18-25,F,92,10519.47,9.67
102,18-25,M,119,10961.04,12.51
102,26-35,F,88,10671.47,9.25
102,26-35,M,88,10341.31,9.25
102,36-45,F,105,10351.28,11.04
102,36-45,M,101,10373.09,10.62
102,46-55,F,67,10544.78,7.05
102,46-55,M,96,11036.24,10.09
102,56+,F,87,10325.05,9.15
102,56+,M,108,9697.07,11.36
103,18-25,F,106,8124.94,10.78
103,18-25,M,105,10862.83,10.68
103,26-35,F,92,10353.02,9.36
103,26-35,M,101,9831.85,10.27
103,36-45,F,102,9542.03,10.38
103,36-45,M,105,10918.58,10.68
103,46-55,F,104,9009.6,10.58
103,46-55,M,98,9811.19,9.97
103,56+,F,90,10443.32,9.16
103,56+,M,80,9626.41,8.14
104,18-25,F,97,9880.68,9.43
104,18-25,M,101,10148.06,9.82
104,26-35,F,115,11601.01,11.18
104,26-35,M,95,9714.21,9.23
104,36-45,F,100,10270.16,9.72
104,36-45,M,108,9889.23,10.5
104,46-55,F,110,10383.39,10.69
104,46-55,M,108,10667.67,10.5
104,56+,F,93,10761.47,9.04
104,56+,M,102,11218.17,9.91
105,18-25,F,108,9837.46,10.54
105,18-25,M,104,10058.92,10.15
105,26-35,F,114,9848.79,11.12
105,26-35,M,105,10453.8,10.24
105,36-45,F,96,10111.54,9.37
105,36-45,M,98,9847.94,9.56
105,46-55,F,109,10947.91,10.63
105,46-55,M,83,10381.39,8.1
105,56+,F,110,11824.28,10.73
105,56+,M,98,10626.41,9.56
