ClienteID,FechaPago,MontoPagado
1,2023-11-27,2050
1,2024-03-25,2182
1,2024-04-29,2595
1,2024-12-26,3976
1,2025-03-16,2410
1,2025-04-04,1319
1,2025-05-18,3950
2,2023-11-01,2647
2,2023-12-06,2074
2,2024-05-31,2551
2,2024-06-27,3919
2,2024-09-18,3193
2,2024-12-01,2858
2,2025-01-28,2056
3,2024-02-15,933
3,2024-07-17,334
3,2024-09-12,281
3,2025-06-11,1236
4,2023-09-06,3656
4,2023-11-16,2844
4,2023-12-26,1606
4,2024-02-07,1015
4,2024-09-27,3783
4,2024-11-16,1641
4,2025-01-15,509
4,2025-05-05,1542
4,2025-07-29,1553
4,2025-08-18,1662
5,2024-05-08,2187
5,2025-01-25,2836
5,2025-05-23,965
6,2024-06-28,1505
6,2024-07-12,1193
6,2024-08-16,2286
6,2025-03-23,3332
7,2024-06-13,540
7,2024-10-29,2058
7,2025-03-21,2893
7,2025-04-16,2110
8,2023-09-01,3791
8,2024-01-13,3168
8,2025-07-12,1590
9,2024-01-27,1364
9,2024-07-06,589
10,2023-10-22,3905
10,2024-02-25,1756
10,2025-03-08,1397
10,2025-04-01,3189
10,2025-08-05,3515
11,2024-01-02,552
11,2024-05-07,3021
11,2024-05-14,670
11,2024-11-09,678
11,2025-01-23,2317
11,2025-02-24,1794
11,2025-03-02,2974
12,2023-09-04,3039
12,2023-09-04,3455
12,2023-09-15,1871
12,2023-10-09,273
12,2023-11-19,827
12,2023-12-08,1918
12,2024-05-11,2369
12,2025-02-21,524
12,2025-05-23,3547
13,2024-01-08,2706
13,2024-04-06,3414
13,2024-05-13,2647
13,2024-06-03,439
13,2024-07-25,540
13,2024-07-31,2319
13,2024-09-08,3733
13,2024-12-07,1678
13,2025-06-24,393
14,2023-12-04,3472
14,2024-01-17,3614
15,2023-10-07,2943
15,2024-04-24,3649
15,2024-09-18,1271
15,2024-10-25,1744
15,2024-11-05,1209
15,2024-11-25,2637
15,2024-12-14,2396
15,2025-03-15,738
15,2025-05-22,2635
15,2025-08-22,616
16,2023-10-07,3753
16,2023-10-21,1674
16,2023-10-22,237
16,2024-01-21,213
16,2024-06-06,3986
16,2024-12-19,2474
16,2025-02-04,1715
16,2025-03-02,3991
17,2023-11-15,515
17,2024-11-03,740
17,2024-12-14,822
17,2024-12-31,3980
18,2023-11-24,3880
18,2023-11-28,1618
18,2023-12-17,1102
18,2024-10-27,318
18,2025-03-12,3836
18,2025-04-25,548
18,2025-05-31,1451
19,2023-11-26,3554
19,2023-12-16,2979
19,2023-12-23,1624
19,2024-01-19,3700
19,2024-04-05,3560
19,2024-09-28,642
19,2025-04-19,584
19,2025-04-22,1796
19,2025-04-27,3157
19,2025-05-22,2483
20,2023-08-27,1032
20,2023-12-20,2362
20,2023-12-28,1514
20,2023-12-31,275
20,2024-04-25,262
20,2024-05-16,3029
20,2024-08-31,1727
20,2025-01-27,995
20,2025-03-10,2796
20,2025-07-04,2796
21,2023-10-21,3265
21,2024-08-30,1863
21,2024-09-26,2485
21,2024-12-04,1634
22,2023-08-27,3293
22,2024-07-31,1237
22,2024-12-04,889
22,2024-12-08,1120
22,2025-03-18,2679
22,2025-05-08,3556
23,2023-11-28,1532
23,2024-04-01,2248
23,2024-07-21,3065
23,2024-07-21,238
23,2025-05-15,3943
23,2025-05-29,1899
23,2025-06-02,2380
24,2024-02-04,1234
24,2024-05-31,1857
24,2024-07-28,3803
24,2025-02-25,3099
25,2024-01-15,3995
25,2024-07-08,532
25,2025-05-09,3604
26,2023-11-13,2412
26,2024-05-06,1227
26,2024-11-21,1996
26,2025-02-20,2826
26,2025-02-23,1299
26,2025-03-03,3014
26,2025-04-18,3514
26,2025-08-25,3359
27,2023-10-20,2701
27,2023-11-27,1573
27,2025-03-31,1547
28,2023-10-13,686
28,2023-10-19,2317
28,2023-12-19,1446
28,2023-12-25,1118
28,2024-06-27,2024
28,2024-06-30,3162
28,2024-11-08,1121
28,2024-11-24,571
28,2025-01-07,2757
28,2025-07-03,588
29,2023-12-31,1489
29,2024-04-17,2299
29,2024-10-29,1432
29,2024-11-13,2807
29,2025-02-03,2496
29,2025-08-19,714
30,2024-10-29,1554
30,2024-12-05,237
31,2023-11-08,2311
31,2023-11-14,1274
31,2024-05-01,3972
31,2024-05-11,2130
31,2025-01-28,1061
31,2025-03-17,2401
31,2025-05-21,3691
31,2025-06-08,491
31,2025-06-20,2710
32,2023-11-13,2228
32,2024-11-20,3178
33,2023-10-23,1180
33,2023-10-26,2370
33,2023-10-27,3127
33,2024-06-04,2838
33,2024-06-27,1676
33,2024-07-27,487
33,2024-08-29,2503
33,2025-05-07,3003
34,2023-10-08,2313
34,2023-12-15,2934
34,2024-02-01,1881
34,2024-06-12,3711
34,2025-05-12,1918
34,2025-05-13,3835
35,2024-01-10,2990
35,2024-06-17,2205
35,2024-08-05,3452
35,2024-10-14,326
35,2025-05-31,3616
35,2025-06-20,1229
35,2025-07-21,2220
36,2024-09-01,899
37,2023-08-28,2441
37,2023-09-26,2140
37,2024-06-22,3583
37,2024-09-10,2542
37,2025-03-19,1027
38,2023-09-06,3933
38,2023-09-19,1985
38,2024-01-03,3423
38,2024-01-21,2480
38,2024-03-11,2938
38,2024-09-24,2556
38,2025-02-22,3550
38,2025-04-17,2971
38,2025-08-10,2839
39,2024-11-19,685
40,2024-03-20,3135
40,2024-04-02,2662
40,2024-05-02,3422
40,2024-05-02,3863
40,2024-07-15,2408
40,2025-04-23,3218
40,2025-08-18,3903
41,2024-04-05,2470
41,2024-06-08,718
41,2024-08-09,3919
41,2025-07-16,2524
42,2023-09-26,3693
42,2024-01-30,2331
42,2024-02-13,3744
42,2024-03-21,3067
42,2024-08-04,1096
42,2025-04-01,912
43,2023-09-26,3313
43,2024-03-12,1452
43,2024-04-12,227
43,2024-06-14,1292
43,2024-09-18,898
43,2024-10-18,3468
43,2025-01-09,3188
43,2025-03-25,3755
43,2025-05-16,1349
44,2023-12-19,1988
44,2024-11-08,2908
45,2024-02-11,1124
45,2024-07-05,202
45,2024-07-25,3915
45,2024-08-02,1277
45,2024-11-02,2324
45,2024-11-21,3167
45,2025-05-03,2244
45,2025-05-25,768
46,2023-09-02,3847
46,2023-12-06,760
46,2024-01-27,2001
46,2024-10-19,3107
46,2024-11-19,3325
46,2025-02-18,3005
46,2025-04-06,752
46,2025-04-25,1148
46,2025-06-10,1918
47,2024-07-22,3945
47,2025-03-07,1456
47,2025-06-25,433
47,2025-08-06,2379
48,2023-10-29,240
48,2024-03-25,547
48,2024-05-24,3220
48,2024-05-29,3909
48,2024-10-28,1062
48,2025-01-01,3045
48,2025-01-09,2606
48,2025-02-11,3295
48,2025-04-03,3215
48,2025-04-26,1252
49,2023-09-23,2171
49,2023-09-27,2895
49,2023-10-17,2491
49,2024-03-20,2157
49,2024-05-28,1944
49,2024-09-04,284
49,2024-10-31,253
49,2025-06-26,959
50,2024-11-04,1648
51,2023-10-02,3783
51,2023-10-22,2514
51,2024-05-10,810
51,2024-07-13,2079
51,2024-08-03,2819
51,2025-06-01,295
52,2024-01-25,1185
52,2024-05-24,232
52,2025-04-20,2999
53,2023-09-24,3843
53,2024-04-21,335
53,2024-11-12,1395
53,2025-03-11,2779
54,2024-11-05,2725
54,2024-12-15,233
54,2025-06-01,282
55,2023-10-25,1151
55,2024-05-16,3603
55,2024-06-10,1424
55,2024-07-10,2053
55,2024-12-07,1513
55,2024-12-22,1348
55,2025-02-18,3450
55,2025-02-22,1180
56,2023-08-26,1377
